ensg	entrez	symbol
ENSG00000084734	2646	GCKR
ENSG00000090273	10726	NUDC
ENSG00000090382	4069	LYZ
ENSG00000095787	51322	WAC
ENSG00000104447	7227	TRPS1
ENSG00000105523	54854	FAM83E
ENSG00000105643	27106	ARRDC2
ENSG00000105655	51477	ISYNA1
ENSG00000105656	8178	ELL
ENSG00000105755	23474	ETHE1
ENSG00000105810	1021	CDK6
ENSG00000106070	2887	GRB10
ENSG00000106415	113263	GLCCI1
ENSG00000106853	22949	PTGR1
ENSG00000108352	51195	RAPGEFL1
ENSG00000108375	54894	RNF43
ENSG00000108384	5889	RAD51C
ENSG00000108387	5414	SEPT4
ENSG00000108389	9110	MTMR4
ENSG00000108395	4591	TRIM37
ENSG00000109519	80273	GRPEL1
ENSG00000111605	11052	CPSF6
ENSG00000112773	55603	FAM46A
ENSG00000113916	604	BCL6
ENSG00000115207	2976	GTF3C2
ENSG00000115211	8890	EIF2B4
ENSG00000115216	29959	NRBP1
ENSG00000115226	64838	FNDC4
ENSG00000115234	9784	SNX17
ENSG00000115241	5496	PPM1G
ENSG00000115850	3938	LCT
ENSG00000117280	8934	RAB7L1
ENSG00000117691	29937	NENF
ENSG00000117713	8289	ARID1A
ENSG00000121101	56155	TEX14
ENSG00000122406	6125	RPL5
ENSG00000122484	79871	RPAP2
ENSG00000126214	3831	KLC1
ENSG00000126351	7067	THRA
ENSG00000126368	9572	NR1D1
ENSG00000127337	8089	YEATS4
ENSG00000127980	5189	PEX1
ENSG00000127993	84060	RBM48
ENSG00000130511	170463	SSBP4
ENSG00000130592	4046	LSP1
ENSG00000130695	64793	CEP85
ENSG00000131873	22856	CHSY1
ENSG00000132405	57533	TBC1D14
ENSG00000138002	26160	IFT172
ENSG00000142669	83442	SH3BGRL3
ENSG00000142751	54707	GPN2
ENSG00000142789	10136	CELA3A
ENSG00000143412	8416	ANXA9
ENSG00000144648	1238	ACKR2
ENSG00000144649	729085	FAM198A
ENSG00000146192	221472	FGD2
ENSG00000146197	222663	SCUBE3
ENSG00000146592	9586	CREB5
ENSG00000148384	56623	INPP5E
ENSG00000148396	9919	SEC16A
ENSG00000148572	29982	NRBF2
ENSG00000148737	6934	TCF7L2
ENSG00000149600	149951	COMMD7
ENSG00000152904	9453	GGPS1
ENSG00000153982	284161	GDPD1
ENSG00000154127	84959	UBASH3B
ENSG00000154511	388650	FAM69A
ENSG00000155903	5922	RASA2
ENSG00000157259	57798	GATAD1
ENSG00000157992	200634	KRTCAP3
ENSG00000158062	91544	UBXN11
ENSG00000159352	5710	PSMD4
ENSG00000161011	8878	SQSTM1
ENSG00000162676	2672	GFI1
ENSG00000162877	148811	PM20D1
ENSG00000163795	130557	ZNF513
ENSG00000164162	10393	ANAPC10
ENSG00000164163	6059	ABCE1
ENSG00000164164	54726	OTUD4
ENSG00000165684	6621	SNAPC4
ENSG00000165688	23203	PMPCA
ENSG00000165689	10807	SDCCAG3
ENSG00000166165	1152	CKB
ENSG00000166166	115708	TRMT61A
ENSG00000166170	9529	BAG5
ENSG00000167447	55181	SMG8
ENSG00000169442	1043	CD52
ENSG00000170776	11214	AKAP13
ENSG00000171316	55636	CHD7
ENSG00000173011	93624	TADA2B
ENSG00000173258	158399	ZNF483
ENSG00000174842	11146	GLMN
ENSG00000175175	22843	PPM1E
ENSG00000176083	257101	ZNF683
ENSG00000176160	124535	HSF5
ENSG00000176714	79635	CCDC121
ENSG00000177200	80205	CHD9
ENSG00000179348	2624	GATA2
ENSG00000181013	284083	C17orf47
ENSG00000182628	348235	SKA2
ENSG00000187796	64170	CARD9
ENSG00000196366	158055	C9orf163
ENSG00000198121	1902	LPAR1
ENSG00000198746	63906	GPATCH3
ENSG00000203910	388649	C1orf146
ENSG00000204160	84243	ZDHHC18
ENSG00000213221	728489	DNLZ
ENSG00000213246	6827	SUPT4H1
ENSG00000213462	2086	ERV3-1
ENSG00000219073	23436	CELA3B
ENSG00000225996	NA	AL356356.1
ENSG00000228804	100131635	RP11-211G3.3
ENSG00000234545	257415	FAM133B
ENSG00000240747	100506243	KRBOX1
ENSG00000242950	30816	ERVW-1
ENSG00000254087	4067	LYN
ENSG00000256053	84334	APOPT1
ENSG00000256500	NA	RP11-73M18.2
ENSG00000265303	NA	CTD-2510F5.6
ENSG00000273291	100506243	KRBOX1
ENSG00000005961	3674	ITGA2B
ENSG00000006125	163	AP2B1
ENSG00000008869	54497	HEATR5B
ENSG00000013016	30845	EHD3
ENSG00000017797	10928	RALBP1
ENSG00000034971	4653	MYOC
ENSG00000063660	2817	GPC1
ENSG00000064652	28966	SNX24
ENSG00000070759	10420	TESK2
ENSG00000071051	8440	NCK2
ENSG00000072110	87	ACTN1
ENSG00000073008	5817	PVR
ENSG00000076108	11176	BAZ2A
ENSG00000081177	55218	EXD2
ENSG00000087470	10059	DNM1L
ENSG00000088053	51206	GP6
ENSG00000089327	53827	FXYD5
ENSG00000089902	23186	RCOR1
ENSG00000090565	9727	RAB11FIP3
ENSG00000091640	9552	SPAG7
ENSG00000100271	25809	TTLL1
ENSG00000100280	162	AP1B1
ENSG00000100425	23774	BRD1
ENSG00000100426	9889	ZBED4
ENSG00000101158	51497	NELFCD
ENSG00000101162	81027	TUBB1
ENSG00000101307	10326	SIRPB1
ENSG00000103184	9717	SEC14L5
ENSG00000103642	114294	LACTB
ENSG00000104879	1158	CKM
ENSG00000104881	10848	PPP1R13L
ENSG00000104884	2068	ERCC2
ENSG00000104892	147700	KLC3
ENSG00000108733	5193	PEX12
ENSG00000110955	506	ATP5B
ENSG00000110958	10728	PTGES3
ENSG00000113302	3593	IL12B
ENSG00000113504	10723	SLC12A7
ENSG00000114491	7372	UMPS
ENSG00000114770	10057	ABCC5
ENSG00000116641	85440	DOCK7
ENSG00000119138	687	KLF9
ENSG00000123352	65244	SPATS2
ENSG00000123843	725	C4BPB
ENSG00000125900	128646	SIRPD
ENSG00000126775	22863	ATG14
ENSG00000126787	9787	DLGAP5
ENSG00000128274	53947	A4GALT
ENSG00000130201	90332	EXOC3L2
ENSG00000132694	9826	ARHGEF11
ENSG00000132781	4595	MUTYH
ENSG00000138613	83464	APH1B
ENSG00000139131	51067	YARS2
ENSG00000139572	53831	GPR84
ENSG00000139725	54509	RHOF
ENSG00000139835	79774	GRTP1
ENSG00000139990	8816	DCAF5
ENSG00000140416	7168	TPM1
ENSG00000141150	91608	RASL10B
ENSG00000142082	23410	SIRT3
ENSG00000142252	79760	GEMIN7
ENSG00000142327	57140	RNPEPL1
ENSG00000142330	11132	CAPN10
ENSG00000143222	51506	UFC1
ENSG00000143224	5498	PPOX
ENSG00000143256	5202	PFDN2
ENSG00000143549	7170	TPM3
ENSG00000144118	5899	RALB
ENSG00000144504	51281	ANKMY1
ENSG00000145703	10788	IQGAP2
ENSG00000145860	153830	RNF145
ENSG00000150637	10666	CD226
ENSG00000151748	60485	SAV1
ENSG00000154845	9989	PPP4R1
ENSG00000158710	8407	TAGLN2
ENSG00000158796	9191	DEDD
ENSG00000158850	8703	B4GALT3
ENSG00000160439	112724	RDH13
ENSG00000160613	9159	PCSK7
ENSG00000160838	149499	LRRC71
ENSG00000161642	25946	ZNF385A
ENSG00000162607	7398	USP1
ENSG00000163686	57406	ABHD6
ENSG00000164181	79993	ELOVL7
ENSG00000164332	134510	UBLCP1
ENSG00000166126	81693	AMN
ENSG00000167323	6786	STIM1
ENSG00000167325	6240	RRM1
ENSG00000167460	7171	TPM4
ENSG00000167461	4218	RAB8A
ENSG00000167553	84790	TUBA1C
ENSG00000167642	10653	SPINT2
ENSG00000168496	2237	FEN1
ENSG00000168938	5480	PPIC
ENSG00000169224	148823	GCSAML
ENSG00000169717	140625	ACTRT2
ENSG00000169946	23414	ZFPM2
ENSG00000170231	2172	FABP6
ENSG00000170633	80196	RNF34
ENSG00000170871	9778	KIAA0232
ENSG00000171530	6902	TBCA
ENSG00000172667	64393	ZMAT3
ENSG00000173702	56667	MUC13
ENSG00000174776	151790	WDR49
ENSG00000176225	25914	RTTN
ENSG00000177947	113746	ODF3
ENSG00000178301	282679	AQP11
ENSG00000178974	55030	FBXO34
ENSG00000179051	55920	RCC2
ENSG00000179846	284353	NKPD1
ENSG00000181104	2149	F2R
ENSG00000182500	84876	ORAI1
ENSG00000182858	79087	ALG12
ENSG00000182944	2130	EWSR1
ENSG00000184164	79174	CRELD2
ENSG00000185024	2972	BRF1
ENSG00000185088	51065	RPS27L
ENSG00000185245	2811	GP1BA
ENSG00000185627	5719	PSMD13
ENSG00000186566	23131	GPATCH8
ENSG00000186635	116985	ARAP1
ENSG00000187800	375033	PEAR1
ENSG00000188725	643155	SMIM15
ENSG00000188735	144404	TMEM120B
ENSG00000196242	81472	OR2C3
ENSG00000196531	4666	NACA
ENSG00000197386	3064	HTT
ENSG00000197943	5336	PLCG2
ENSG00000198053	140885	SIRPA
ENSG00000198056	5557	PRIM1
ENSG00000198898	830	CAPZA2
ENSG00000203797	8528	DDO
ENSG00000205045	100506736	SLFN12L
ENSG00000205302	6643	SNX2
ENSG00000205436	91828	EXOC3L4
ENSG00000206052	220164	DOK6
ENSG00000206560	23243	ANKRD28
ENSG00000216588	147710	IGSF23
ENSG00000236320	342618	SLFN14
ENSG00000236624	126661	CCDC163P
ENSG00000241839	80301	PLEKHO2
ENSG00000249240	NA	AC069368.3
ENSG00000253276	168455	CCDC71L
ENSG00000257599	101055625	OVCH1-AS1
ENSG00000260861	NA	RP4-576H24.4
ENSG00000266958	NA	AC006126.3
ENSG00000267748	NA	CTB-102L5.4
ENSG00000005844	3683	ITGAL
ENSG00000010704	3077	HFE
ENSG00000014138	23649	POLA2
ENSG00000022976	55778	ZNF839
ENSG00000026950	11119	BTN3A1
ENSG00000035928	5981	RFC1
ENSG00000039523	79567	FAM65A
ENSG00000066827	57623	ZFAT
ENSG00000067955	865	CBFB
ENSG00000072682	8974	P4HA2
ENSG00000073969	4905	NSF
ENSG00000074582	617	BCS1L
ENSG00000076382	10615	SPAG5
ENSG00000079689	10590	SCGN
ENSG00000079691	55604	LRRC16A
ENSG00000079819	2037	EPB41L2
ENSG00000083642	23047	PDS5B
ENSG00000086504	10573	MRPL28
ENSG00000087077	7205	TRIP6
ENSG00000087085	43	ACHE
ENSG00000089009	6128	RPL6
ENSG00000089022	8550	MAPKAPK5
ENSG00000089169	22895	RPH3A
ENSG00000089234	8315	BRAP
ENSG00000089248	10961	ERP29
ENSG00000095380	54187	NANS
ENSG00000099256	56952	PRTFDC1
ENSG00000100865	51550	CINP
ENSG00000103126	8312	AXIN1
ENSG00000105229	51588	PIAS4
ENSG00000105607	2639	GCDH
ENSG00000106261	7586	ZKSCAN1
ENSG00000106785	9830	TRIM14
ENSG00000107882	51684	SUFU
ENSG00000107957	9644	SH3PXD2A
ENSG00000108379	7473	WNT3
ENSG00000111249	23316	CUX2
ENSG00000111252	10019	SH2B3
ENSG00000111271	80724	ACAD10
ENSG00000111275	217	ALDH2
ENSG00000111300	80018	NAA25
ENSG00000111801	10384	BTN3A3
ENSG00000112337	10246	SLC17A2
ENSG00000112339	10767	HBS1L
ENSG00000112343	10475	TRIM38
ENSG00000112365	9841	ZBTB24
ENSG00000112367	9896	FIG4
ENSG00000112763	11120	BTN2A1
ENSG00000112812	10279	PRSS16
ENSG00000114127	54464	XRN1
ENSG00000115970	63892	THADA
ENSG00000118513	4602	MYB
ENSG00000118690	84071	ARMC2
ENSG00000119778	54454	ATAD2B
ENSG00000119866	53335	BCL11A
ENSG00000120071	284058	KANSL1
ENSG00000120088	1394	CRHR1
ENSG00000120158	10171	RCL1
ENSG00000123737	5393	EXOSC9
ENSG00000123908	27161	AGO2
ENSG00000124067	6560	SLC12A4
ENSG00000124508	10385	BTN2A2
ENSG00000124529	8366	HIST1H4B
ENSG00000124557	696	BTN1A1
ENSG00000124564	10786	SLC17A3
ENSG00000124568	6568	SLC17A1
ENSG00000124610	3024	HIST1H1A
ENSG00000124635	8970	HIST1H2BJ
ENSG00000124693	8358	HIST1H3B
ENSG00000124782	6239	RREB1
ENSG00000125149	80262	C16orf70
ENSG00000125952	4149	MAX
ENSG00000125954	100529261	CHURC1-FNTB
ENSG00000126934	5605	MAP2K2
ENSG00000130227	23039	XPO7
ENSG00000131435	8572	PDLIM4
ENSG00000132170	5468	PPARG
ENSG00000134013	4017	LOXL2
ENSG00000134824	9415	FADS2
ENSG00000134825	746	TMEM258
ENSG00000135148	10906	TRAFD1
ENSG00000135535	8763	CD164
ENSG00000135587	6610	SMPD2
ENSG00000135596	64780	MICAL1
ENSG00000135723	29109	FHOD1
ENSG00000135740	6553	SLC9A5
ENSG00000135926	64114	TMBIM1
ENSG00000137185	7746	ZSCAN9
ENSG00000137259	8335	HIST1H2AB
ENSG00000137338	84547	PGBD1
ENSG00000138107	10121	ACTR1A
ENSG00000138111	79847	TMEM180
ENSG00000138175	403	ARL3
ENSG00000138587	55329	MNS1
ENSG00000138686	55212	BBS7
ENSG00000138741	7222	TRPC3
ENSG00000139998	376267	RAB15
ENSG00000145386	890	CCNA2
ENSG00000146039	10050	SLC17A4
ENSG00000146109	29777	ABT1
ENSG00000146830	64599	GIGYF1
ENSG00000147454	51312	SLC25A37
ENSG00000148795	1586	CYP17A1
ENSG00000149485	3992	FADS1
ENSG00000149599	128853	DUSP15
ENSG00000150907	2308	FOXO1
ENSG00000151090	7068	THRB
ENSG00000151575	374618	TEX9
ENSG00000152518	678	ZFP36L2
ENSG00000153093	55289	ACOXL
ENSG00000153094	10018	BCL2L11
ENSG00000155085	221264	AK9
ENSG00000156398	118980	SFXN2
ENSG00000156510	80201	HKDC1
ENSG00000157110	11030	RBPMS
ENSG00000157782	9478	CABP1
ENSG00000157796	57728	WDR19
ENSG00000157837	121665	SPPL3
ENSG00000157890	84465	MEGF11
ENSG00000158373	3017	HIST1H2BD
ENSG00000158406	8365	HIST1H4H
ENSG00000158553	94026	POM121L2
ENSG00000158691	9753	ZSCAN12
ENSG00000159140	6651	SON
ENSG00000159147	29980	DONSON
ENSG00000159720	9114	ATP6V0D1
ENSG00000161860	256126	SYCE2
ENSG00000163026	80304	C2orf44
ENSG00000163466	10109	ARPC2
ENSG00000163710	26577	PCOLCE2
ENSG00000163875	64769	MEAF6
ENSG00000164112	132332	TMEM155
ENSG00000164707	26266	SLC13A4
ENSG00000166272	54838	WBP1L
ENSG00000166278	717	C2
ENSG00000166526	7551	ZNF3
ENSG00000167658	1938	EEF2
ENSG00000167800	347853	TBX10
ENSG00000168131	81697	OR2B2
ENSG00000168242	8346	HIST1H2BI
ENSG00000168274	3012	HIST1H2AE
ENSG00000168298	3008	HIST1H1E
ENSG00000168477	7148	TNXB
ENSG00000169894	4584	MUC3A
ENSG00000169925	8019	BRD3
ENSG00000170180	2993	GYPA
ENSG00000171206	81603	TRIM8
ENSG00000172171	79736	TEFM
ENSG00000172354	2783	GNB2
ENSG00000172380	55970	GNG12
ENSG00000172493	4299	AFF1
ENSG00000172508	57571	CARNS1
ENSG00000172531	5499	PPP1CA
ENSG00000172613	5883	RAD9A
ENSG00000172824	283848	CES4A
ENSG00000172830	54961	SSH3
ENSG00000173064	283450	HECTD4
ENSG00000173120	22992	KDM2A
ENSG00000173960	165324	UBXN2A
ENSG00000175463	374403	TBC1D10C
ENSG00000175482	57804	POLD4
ENSG00000175505	23529	CLCF1
ENSG00000175634	6199	RPS6KB2
ENSG00000176208	79915	ATAD5
ENSG00000176390	51379	CRLF3
ENSG00000177951	51272	BET1L
ENSG00000178226	146547	PRSS36
ENSG00000178951	51341	ZBTB7A
ENSG00000179115	2193	FARSA
ENSG00000179218	811	CALR
ENSG00000179262	5886	RAD23A
ENSG00000179295	5781	PTPN11
ENSG00000179344	3119	HLA-DQB1
ENSG00000179526	81858	SHARPIN
ENSG00000180370	5062	PAK2
ENSG00000180573	8334	HIST1H2AC
ENSG00000180596	8347	HIST1H2BC
ENSG00000181315	79692	ZNF322
ENSG00000182572	8354	HIST1H3I
ENSG00000182952	10473	HMGN4
ENSG00000183032	89874	SLC25A21
ENSG00000184060	55803	ADAP2
ENSG00000184348	8330	HIST1H2AK
ENSG00000184357	3009	HIST1H1B
ENSG00000184575	11260	XPOT
ENSG00000184825	85235	HIST1H2AH
ENSG00000185130	8340	HIST1H2BL
ENSG00000185250	285755	PPIL6
ENSG00000185591	6667	SP1
ENSG00000185615	64714	PDIA2
ENSG00000186470	11118	BTN3A2
ENSG00000187475	3010	HIST1H1T
ENSG00000187626	387032	ZKSCAN4
ENSG00000187837	3006	HIST1H1C
ENSG00000187987	222696	ZSCAN23
ENSG00000187990	8339	HIST1H2BG
ENSG00000188315	375341	C3orf62
ENSG00000188987	8360	HIST1H4D
ENSG00000189134	222698	NKAPL
ENSG00000189298	80317	ZKSCAN3
ENSG00000196155	25894	PLEKHG4
ENSG00000196176	8359	HIST1H4A
ENSG00000196226	3018	HIST1H2BB
ENSG00000196331	8348	HIST1H2BO
ENSG00000196532	8352	HIST1H3C
ENSG00000196663	9895	TECPR2
ENSG00000196735	3117	HLA-DQA1
ENSG00000196747	8329	HIST1H2AI
ENSG00000196812	80345	ZSCAN16
ENSG00000196866	3013	HIST1H2AD
ENSG00000196966	8353	HIST1H3E
ENSG00000197061	8364	HIST1H4C
ENSG00000197111	5094	PCBP2
ENSG00000197153	8356	HIST1H3J
ENSG00000197208	6583	SLC22A4
ENSG00000197217	9583	ENTPD4
ENSG00000197279	7718	ZNF165
ENSG00000197375	6584	SLC22A5
ENSG00000197409	8351	HIST1H3D
ENSG00000197536	441108	C5orf56
ENSG00000197697	8344	HIST1H2BE
ENSG00000197846	8343	HIST1H2BF
ENSG00000197903	85236	HIST1H2BK
ENSG00000198270	89894	TMEM116
ENSG00000198315	7745	ZKSCAN8
ENSG00000198324	144717	FAM109A
ENSG00000198366	8350	HIST1H3A
ENSG00000198374	8332	HIST1H2AL
ENSG00000198518	8367	HIST1H4E
ENSG00000198563	7919	DDX39B
ENSG00000198704	257202	GPX6
ENSG00000198732	64093	SMOC1
ENSG00000204252	3111	HLA-DOA
ENSG00000204257	3108	HLA-DMA
ENSG00000204267	6891	TAP2
ENSG00000204344	8859	STK19
ENSG00000204356	7936	NELFE
ENSG00000204371	10919	EHMT2
ENSG00000204385	80736	SLC44A4
ENSG00000204390	3305	HSPA1L
ENSG00000204410	4439	MSH5
ENSG00000204475	259197	NCR3
ENSG00000204482	7940	LST1
ENSG00000204498	4795	NFKBIL1
ENSG00000204516	4277	MICB
ENSG00000204536	54535	CCHCR1
ENSG00000204538	170680	PSORS1C2
ENSG00000204539	1041	CDSN
ENSG00000204540	170679	PSORS1C1
ENSG00000204542	29113	C6orf15
ENSG00000204642	3134	HLA-F
ENSG00000204644	346171	ZFP57
ENSG00000204655	4340	MOG
ENSG00000204842	6311	ATXN2
ENSG00000205147	NA	AC016586.1
ENSG00000205250	1874	E2F4
ENSG00000205639	388931	MFSD2B
ENSG00000205726	6453	ITSN1
ENSG00000206177	3042	HBM
ENSG00000213676	1388	ATF6B
ENSG00000213719	1192	CLIC1
ENSG00000213760	534	ATP6V1G2
ENSG00000215298	NA	FP15737
ENSG00000225190	9842	PLEKHM1
ENSG00000226757	100192379	AC079341.1
ENSG00000226979	4049	LTA
ENSG00000228273	4584	MUC3A
ENSG00000228727	401251	SAPCD1
ENSG00000232810	7124	TNF
ENSG00000233224	8336	HIST1H2AM
ENSG00000233822	8341	HIST1H2BN
ENSG00000234745	3106	HLA-B
ENSG00000235109	64288	ZSCAN31
ENSG00000237102	NA	AC040160.1
ENSG00000241106	3112	HLA-DOB
ENSG00000242173	398	ARHGDIG
ENSG00000243649	629	CFB
ENSG00000243729	81696	OR5V1
ENSG00000244255	629	CFB
ENSG00000249209	NA	AP000304.12
ENSG00000250264	6891	TAP2
ENSG00000250361	2994	GYPB
ENSG00000254870	100532737	ATP6V1G2-DDX39B
ENSG00000255152	100532732	MSH5-SAPCD1
ENSG00000256018	8355	HIST1H3G
ENSG00000257365	2342	FNTB
ENSG00000257767	NA	RP11-162P23.2
ENSG00000268085	NA	AC051642.1
ENSG00000005844	3683	ITGAL
ENSG00000010438	5646	PRSS3
ENSG00000022567	57210	SLC45A4
ENSG00000022840	9921	RNF10
ENSG00000064932	22904	SBNO2
ENSG00000070182	6710	SPTB
ENSG00000072415	64398	MPP5
ENSG00000076201	25930	PTPN23
ENSG00000076864	5909	RAP1GAP
ENSG00000079805	1785	DNM2
ENSG00000087157	9489	PGS1
ENSG00000088727	64147	KIF9
ENSG00000088826	54498	SMOX
ENSG00000088986	8655	DYNLL1
ENSG00000095261	5711	PSMD5
ENSG00000100554	51382	ATP6V1D
ENSG00000100558	26499	PLEK2
ENSG00000104805	4924	NUCB1
ENSG00000105364	51073	MRPL4
ENSG00000105559	57664	PLEKHA4
ENSG00000105971	858	CAV2
ENSG00000108179	10105	PPIF
ENSG00000110851	11108	PRDM4
ENSG00000110871	84274	COQ5
ENSG00000111780	NA	AL021546.6
ENSG00000111786	8683	SRSF9
ENSG00000114270	1294	COL7A1
ENSG00000114648	23276	KLHL18
ENSG00000114650	22937	SCAP
ENSG00000115128	51639	SF3B14
ENSG00000115129	9540	TP53I3
ENSG00000115415	6772	STAT1
ENSG00000115419	2744	GLS
ENSG00000119402	26190	FBXW2
ENSG00000119782	2281	FKBP1B
ENSG00000122786	800	CALD1
ENSG00000127616	6597	SMARCA4
ENSG00000129347	65095	KRI1
ENSG00000129351	3609	ILF3
ENSG00000129353	57153	SLC44A2
ENSG00000130734	84971	ATG4D
ENSG00000130816	1786	DNMT1
ENSG00000134001	1965	EIF2S1
ENSG00000135097	4440	MSI1
ENSG00000136014	84101	USP44
ENSG00000138101	1838	DTNB
ENSG00000142453	10498	CARM1
ENSG00000154188	284	ANGPT1
ENSG00000156256	10600	USP16
ENSG00000162923	80232	WDR26
ENSG00000163832	54859	ELP6
ENSG00000167272	51367	POP5
ENSG00000170852	25948	KBTBD2
ENSG00000172717	161142	FAM71D
ENSG00000179921	151306	GPBAR1
ENSG00000181555	29072	SETD2
ENSG00000183090	166752	FREM3
ENSG00000186047	220107	DLEU7
ENSG00000186453	653140	FAM228A
ENSG00000198399	50618	ITSN2
ENSG00000198862	26046	LTN1
ENSG00000213339	81890	QTRT1
ENSG00000214212	255809	C19orf38
ENSG00000219626	375190	FAM228B
ENSG00000221914	5520	PPP2R2A
ENSG00000226104	NA	AC011475.1
ENSG00000243477	24142	NAT6
ENSG00000257218	283459	GATC
ENSG00000266118	NA	RP11-507M3.1
ENSG00000267534	9294	S1PR2
ENSG00000010165	51603	METTL13
ENSG00000018280	6556	SLC11A1
ENSG00000025423	8630	HSD17B6
ENSG00000033030	55596	ZCCHC8
ENSG00000048649	51773	RSF1
