"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"31","GO:0070848",0.0105291053592119,0,4.33089500860585,0,165,"response to growth factor"
"32","GO:0048856",0.0106893857440373,0.516150831193405,28.2426850258176,19,1076,"anatomical structure development"
"33","GO:1902533",0.0110473480861896,0.14451566951567,6.16824440619621,1,235,"positive regulation of intracellular signal transduction"
"34","GO:0048518",0.0114341727866534,0.528846153846154,31.2349397590361,22,1190,"positive regulation of biological process"
"35","GO:0006935",0.0114735521352116,0,4.25215146299484,0,162,"chemotaxis"
"36","GO:0042330",0.0114735521352116,0,4.25215146299484,0,162,"taxis"
"37","GO:0071363",0.0118065143998396,0,4.22590361445783,0,161,"cellular response to growth factor stimulus"
"38","GO:0033554",0.0131675855585732,0.331867643793027,10.4728915662651,4,399,"cellular response to stress"
"39","GO:0009725",0.0131943768544029,0.149486049926579,5.98450946643718,1,228,"response to hormone"
"40","GO:0003006",0.0136192593112161,0,4.09466437177281,0,156,"developmental process involved in reproduction"
"41","GO:0040011",0.0137345222515681,0.333913664568546,10.4203958691911,4,397,"locomotion"
"42","GO:0048584",0.0144122450348089,0.395761293920803,12.9926850258176,6,495,"positive regulation of response to stimulus"
"43","GO:0048583",0.0148364547654854,0.498170221664575,21.2607573149742,13,810,"regulation of response to stimulus"
"44","GO:1901362",0.0159056726621397,0.502049180327869,21.1557659208262,13,806,"organic cyclic compound biosynthetic process"
"45","GO:0050789",0.0170702418763969,0.529160280713076,47.5348537005164,40,1811,"regulation of biological process"
"46","GO:0006950",0.0182869749389087,0.501002554453814,19.8171256454389,12,755,"response to stress"
"47","GO:1901576",0.019485099475156,0.549319727891156,27.3240103270224,19,1041,"organic substance biosynthetic process"
"48","GO:0051094",0.0206268990327844,0.311790533304776,8.53055077452668,3,325,"positive regulation of developmental process"
"49","GO:0007167",0.021983984864592,0.255580428525744,7.00817555938038,2,267,"enzyme linked receptor protein signaling pathway"
"50","GO:0010628",0.0225531682400444,0.443323206018519,13.6226333907057,7,519,"positive regulation of gene expression"
"51","GO:0050865",0.0247236342720758,0,3.5434595524957,0,135,"regulation of cell activation"
"52","GO:0022610",0.0249595336755213,0.322243031838713,8.29432013769363,3,316,"biological adhesion"
"53","GO:0044249",0.0256294434709859,0.566263918502725,26.8777969018933,19,1024,"cellular biosynthetic process"
"54","GO:0007155",0.0260292284032118,0.324647965406364,8.24182444061962,3,314,"cell adhesion"
"55","GO:0097435",0.0261603492771097,0,3.49096385542169,0,133,"supramolecular fiber organization"
"56","GO:0009891",0.0264908466098248,0.431111995225781,12.1527538726334,6,463,"positive regulation of biosynthetic process"
"57","GO:0043410",0.0269091908096783,0,3.46471600688468,0,132,"positive regulation of MAPK cascade"
"58","GO:0051247",0.0275083019359649,0.372183941748522,9.52796901893287,4,363,"positive regulation of protein metabolic process"
"59","GO:0009889",0.0280592962097667,0.536671058410189,20.263339070568,13,772,"regulation of biosynthetic process"
"60","GO:0048522",0.0281666129248197,0.579158921933085,28.7938898450947,21,1097,"positive regulation of cellular process"
"61","GO:0031328",0.0285092623543022,0.435881998795906,12.0477624784854,6,459,"positive regulation of cellular biosynthetic process"
"62","GO:0048598",0.0292845090013347,0,3.38597246127367,0,129,"embryonic morphogenesis"
"63","GO:0009966",0.0307276476464311,0.511617725240016,16.7198795180723,10,637,"regulation of signal transduction"
"64","GO:0002694",0.0309814123319097,0,3.33347676419966,0,127,"regulation of leukocyte activation"
"65","GO:0048513",0.0316038241078812,0.535671169876401,18.9509466437177,12,722,"animal organ development"
"66","GO:0010646",0.0331493960650505,0.53898334439858,18.8722030981067,12,719,"regulation of cell communication"
"67","GO:0048870",0.033468201253327,0.384858995626602,9.26549053356282,4,353,"cell motility"
"68","GO:0051674",0.033468201253327,0.384858995626602,9.26549053356282,4,353,"localization of cell"
"69","GO:0006928",0.0335567839047638,0.446928746928747,11.8115318416523,6,450,"movement of cell or subcellular component"
"70","GO:0010243",0.0335747551343574,0.277938542097285,6.50946643717728,2,248,"response to organonitrogen compound"
"71","GO:0032774",0.0342175800771065,0.530920060331825,17.6910499139415,11,674,"RNA biosynthetic process"
"72","GO:0097659",0.0353278260009421,0.533192133131619,17.6385542168675,11,672,"nucleic acid-templated transcription"
"73","GO:0031326",0.0355584553568972,0.552951388888889,19.8696213425129,13,757,"regulation of cellular biosynthetic process"
"74","GO:0051276",0.0366435350510508,0.283092870149881,6.40447504302926,2,244,"chromosome organization"
"75","GO:0032270",0.0375776619258196,0.392818781647998,9.10800344234079,4,347,"positive regulation of cellular protein metabolic process"
"76","GO:0045935",0.0380115850380001,0.4558352402746,11.6277969018933,6,443,"positive regulation of nucleobase-containing compound metabolic process"
"77","GO:1902680",0.0382846446450848,0.428800366300366,10.367900172117,5,395,"positive regulation of RNA biosynthetic process"
"78","GO:1903508",0.0382846446450848,0.428800366300366,10.367900172117,5,395,"positive regulation of nucleic acid-templated transcription"
"79","GO:0006351",0.041998942253162,0.545938461538461,17.3498278829604,11,661,"transcription, DNA-templated"
"80","GO:1901653",0.04219362447584,0,3.0447504302926,0,116,"cellular response to peptide"
"81","GO:0010557",0.0452717506703672,0.46906536086864,11.3653184165232,6,433,"positive regulation of macromolecule biosynthetic process"
"82","GO:0051239",0.0465719062246723,0.564159094294652,18.2947504302926,12,697,"regulation of multicellular organismal process"
"83","GO:2001141",0.0467763756216248,0.554276827371695,17.1660929432014,11,654,"regulation of RNA biosynthetic process"
"84","GO:0006325",0.047145799526923,0.198857142857143,4.61962134251291,1,176,"chromatin organization"
"85","GO:1903506",0.0474947826834925,0.555482866043614,17.1398450946644,11,653,"regulation of nucleic acid-templated transcription"
"86","GO:0018193",0.0479582391055491,0.364830040495766,7.45438898450947,3,284,"peptidyl-amino acid modification"
"87","GO:0031401",0.0479582391055491,0.364830040495766,7.45438898450947,3,284,"positive regulation of protein modification process"
"88","GO:0018212",0.0485286569498633,0,2.91351118760757,0,111,"peptidyl-tyrosine modification"
"89","GO:0018108",0.0499035979967475,0,2.88726333907057,0,110,"peptidyl-tyrosine phosphorylation"
